sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
KF843173.1.1365	1	0.030202	GCA_025148445.1
KF843174.1.1405	1	0.108092	GCA_900760845.1
KF843178.1.1364	1	0.038635	GCF_003287405.1
KF843180.1.1390	1	0.370047	GCA_900751685.1
KF843183.1.1401	1	0.069655	GCF_004211955.1
KF843187.1.1361	3	0.059488	GCA_900199405.1
KF843188.1.1392	3	0.119103	GCF_018326305.1
KF843195.1.1370	3	0.051601	GCA_900199405.1
KF843198.1.1360	1	0.065781	GCF_003287495.1
KF843199.1.1419	1	0.19565	GCA_944358825.1
KF843201.1.1380	6	0.063445	GCF_015074785.1
KF843202.1.1340	1	0.200053	GCF_900176335.1
KF843203.1.1446	1	0.14525	GCA_934167875.1
KF843211.1.1373	1	0.415769	GCA_010206265.1
KF843212.1.1362	3	0.025171	GCA_025149915.1
KF843214.1.1357	1	0.163925	GCA_025148445.1
KF843215.1.1385	1	0.085443	GCF_020687245.1
KF843216.1.1375	8	0.125179	GCF_004168205.1
KF843221.1.1368	1	0.125514	GCA_944391805.1
KF843229.1.1362	1	0.086339	GCF_000765235.1
KF843231.1.1367	14	0.048502	GCF_900106845.1
KF843235.1.1359	1	0.111644	GCF_018784445.1
KF843238.1.1372	4	0.021489	GCF_005601135.1
KF843239.1.1357	1	0.037378	GCA_025152575.1
KF843240.1.1389	1	0.027932	GCF_009494395.1
KF843241.1.1365	1	0.051936	GCF_003287455.1
KF843243.1.1400	7	0.070703	GCA_021307345.1
KF843246.1.1393	6	0.107191	GCF_015074785.1
KF843248.1.1374	1	0.1079	GCA_014610835.1
KF843254.1.1386	8	0.03015	GCF_004168205.1
KF843255.1.1401	8	0.108069	GCF_000828055.2
KF843261.1.1375	3	0.073818	GCF_018408575.1
KF843262.1.1436	1	0.121249	GCA_944359625.1
KF843272.1.1369	1	0.069269	GCA_025152575.1
KF843277.1.1429	1	0.084754	GCF_900290275.1
KF843280.1.1426	1	0.046019	GCF_015074785.1
KF843287.1.1387	1	0.052426	GCA_025148445.1
KF843289.1.1380	1	0.045313	GCA_014610835.1
KF843294.1.1375	1	0.038271	GCA_025152575.1
KF843298.1.1468	1	0.073594	GCA_934167875.1
KF843310.1.1418	1	0.15082	GCF_000615845.1
KF843314.1.1393	3	0.031618	GCA_018228685.1
KF843318.1.1375	1	0.153064	GCF_000712055.1
KF843322.1.1414	7	0.106141	GCF_000012825.1
KF843333.1.1391	4	0.105914	GCF_005601135.1
KF843334.1.1379	3	0.112445	GCA_900199405.1
KF843349.1.1403	1	0.128452	GCF_000834015.1
KF843361.1.1397	1	0.030223	GCF_009494395.1
KF843363.1.1369	1	0.016852	GCA_025150425.1
KF843368.1.1392	1	0.028382	GCF_002265625.1
KF843370.1.1400	1	0.024201	GCF_009494395.1
KF843374.1.1392	1	0.204213	GCA_900104565.1
KF843378.1.1402	5	0.046273	GCF_009193295.2
KF843380.1.1383	6	0.059146	GCF_015074785.1
KF843381.1.1388	1	0.128374	GCF_900106785.1
KF843382.1.1366	1	0.045732	GCF_002265625.1
KF843386.1.1337	6	0.08394	GCF_015074785.1
KF843387.1.1340	1	0.083165	GCF_009494395.1
KF843388.1.1356	1	0.04783	GCF_900106785.1
KF843391.1.1349	1	0.089814	GCF_009495355.1
KF843394.1.1327	1	0.111039	GCF_009495355.1
KF843395.1.1384	1	0.107994	GCA_900543165.1
KF843399.1.1348	6	0.064356	GCF_015074785.1
KF843400.1.1328	1	0.07756	GCA_900315395.1
KF843401.1.1368	1	0.107994	GCA_900543165.1
KF843403.1.1350	1	0.130475	GCF_002265625.1
KF843407.1.1349	2	0.107151	GCF_000012845.1
KF843409.1.1357	1	0.033462	GCF_000188175.1
KF843410.1.1382	2	0.146366	GCF_003438075.1
KF843413.1.1344	6	0.061973	GCF_015074785.1
KF843417.1.1329	1	0.115257	GCA_022777585.1
KF843418.1.1338	6	0.100825	GCF_015074785.1
KF843421.1.1338	1	0.053859	GCF_000468015.1
KF843426.1.1368	1	0.029585	GCF_016461705.1
KF843428.1.1346	1	0.174761	GCA_025148445.1
KF843429.1.1372	6	0.089989	GCF_000297775.1
KF843430.1.1342	5	0.106172	GCA_000020605.1
KF843432.1.1358	6	0.076505	GCF_015074785.1
KF843433.1.1376	1	0.106338	GCF_004535825.1
KF843437.1.1375	1	0.107994	GCA_900543165.1
KF843439.1.1337	1	0.113355	GCA_900549855.1
KF843440.1.1336	1	0.10994	GCA_916988195.3
KF843442.1.1381	8	0.064644	GCA_025148785.1
KF843444.1.1430	1	0.02265	GCA_900543165.1
KF843445.1.1371	1	0.052984	GCA_025148445.1
KF843447.1.1356	1	0.067769	GCF_900106785.1
KF843450.1.1385	6	0.060236	GCF_015074785.1
KF843451.1.1352	6	0.086396	GCF_015074785.1
KF843452.1.1372	1	0.061257	GCA_900315395.1
KF843453.1.1353	1	0.022779	GCF_018918025.1
KF843455.1.1420	2	0.024944	GCF_000155955.1
KF843457.1.1394	1	0.097122	GCF_019052365.1
KF843459.1.1394	1	0.081259	GCF_900290275.1
KF843468.1.1400	1	0.054156	GCA_022009815.1
KF843471.1.1398	1	0.061771	GCF_900103815.1
KF843477.1.1392	1	0.030934	GCF_002265625.1
KF843486.1.1408	6	0.023311	GCF_015074785.1
KF843488.1.1412	1	0.157148	GCF_002265625.1
KF843499.1.1431	1	0.107994	GCA_900543165.1
KF843501.1.1404	1	0.110644	GCF_002251365.1
KF843503.1.1388	1	0.204213	GCA_900104565.1
KF843513.1.1407	6	0.031278	GCF_015074785.1
KF843519.1.1405	6	0.021485	GCF_015074785.1
KF843530.1.1393	1	0.033222	GCF_004535825.1
KF843535.1.1351	1	0.03112	GCF_900106785.1
KF843540.1.1386	1	0.1074	GCF_014287435.1
KF843543.1.1388	1	0.107171	GCF_000188175.1
KF843545.1.1406	1	0.035935	GCF_015594605.1
KF843553.1.1381	1	0.11403	GCA_002438635.1
KF843554.1.1377	1	0.072216	GCF_009494395.1
KF843558.1.1387	1	0.061144	GCF_900155525.1
KF843559.1.1364	1	0.022944	GCF_003865035.1
KF843564.1.1378	1	0.110644	GCF_002251365.1
KF843565.1.1352	1	0.0476	GCF_023347235.1
KF843567.1.1369	6	0.106801	GCA_025151535.1
KF843570.1.1400	1	0.036121	GCF_015074785.1
KF843576.1.1351	5	0.067049	GCF_007990445.1
KF843578.1.1375	1	0.300141	GCA_000473305.1
KF843581.1.1361	1	0.186424	GCF_018784445.1
KF843584.1.1391	8	0.028706	GCF_004168205.1
KF843587.1.1378	7	0.106141	GCF_000012825.1
KF843590.1.1391	1	0.078072	GCF_002265625.1
KF843592.1.1400	1	0.06891	GCA_944371995.1
KF843596.1.1348	1	0.124388	GCF_018784445.1
KF843598.1.1346	1	0.052125	GCA_910583925.1
KF843599.1.1372	2	0.073917	GCF_014287585.1
KF843606.1.1415	8	0.167144	GCA_025148785.1
KF843607.1.1385	6	0.08969	GCF_015074785.1
KF843608.1.1392	1	0.046336	GCF_004535825.1
KF843619.1.1369	1	0.041285	GCF_009695995.1
KF843630.1.1396	3	0.060115	GCA_018228685.1
KF843633.1.1397	1	0.394962	GCA_010206265.1
KF843636.1.1427	1	0.066863	GCF_000834015.1
KF843637.1.1415	6	0.076297	GCF_015074785.1
KF843639.1.1428	1	0.058845	GCF_002265625.1
KF843640.1.1372	1	0.042168	GCF_002265625.1
KF843641.1.1409	6	0.084175	GCF_015074785.1
KF843650.1.1382	4	0.036434	GCF_000195275.1
KF843651.1.1401	6	0.106801	GCA_025151535.1
KF843654.1.1394	2	0.031187	GCF_003438075.1
KF843655.1.1386	1	0.064247	GCA_003584705.1
KF843662.1.1408	1	0.044282	GCA_003460745.1
KF843663.1.1394	1	0.125514	GCA_944391805.1
KF843664.1.1402	1	0.110644	GCF_002251365.1
KF843665.1.1404	6	0.044706	GCF_015074785.1
KF843667.1.1383	3	0.087631	GCA_018128945.1
KF843668.1.1405	6	0.105998	GCF_015074785.1
KF843669.1.1424	1	0.109203	GCF_900290275.1
KF843671.1.1415	1	0.051605	GCF_004535825.1
KF843676.1.1367	1	0.110644	GCF_002251365.1
KF843686.1.1394	1	0.115257	GCA_022777585.1
KF843689.1.1401	1	0.106718	GCF_014297285.1
KF843694.1.1404	1	0.296339	GCA_010206265.1
KF859577.1.1495	6	0.164871	GCF_012427705.1
KF895368.1.1501	1	0.01495	GCF_003797835.1
KF911150.1.1438	1	0.122606	GCA_016178305.1
KF924002.1.1308	7	0.01287	GCF_018323885.1
KF927015.1.1212	1	0.050191	GCF_006547065.1
KF934477.1.1406	1	0.009824	GCF_003987275.1
KF945090.1.1201	1	0.072571	GCF_019243775.1
KF956686.1.1324	8	0.033853	GCF_004331265.1
KF975538.1.1544	1	0.043447	GCF_001866005.1
KF977148.1.1210	1	0.03149	GCF_015712065.1
KF990498.1.1449	4	0.110379	GCF_000010425.1
KH180591.1.1330	1	0.034272	GCA_000242235.1
KH180701.1.1289	4	0.043431	GCF_001274535.1
KH180889.1.1317	3	0.119488	GCF_000243215.1
KH326986.2814669.2816178	1	0.023545	GCF_000173975.1
KH326986.2952968.2954454	1	0.016542	GCF_000173975.1
KH492896.1.1289	3	0.114669	GCF_001278845.1
KH493948.1.1328	1	0.009597	GCF_000165735.1
KH494396.1.1329	4	0.038969	GCF_000208405.1
KH494397.1.1287	2	0.073854	GCF_014250475.1
KH494596.1.1320	1	0.047618	GCF_900128485.1
KH701209.1.1328	1	0.019043	GCF_001815865.1
KJ160210.1.1379	1	0.047502	GCF_000615845.1
KJ191929.1.1458	1	0.07221	GCF_014695895.1
KJ395381.1.1540	1	0.028141	GCF_900638025.1
KJ412982.1.1209	4	0.003227	GCF_000196555.1
KJ412985.1.1234	5	0.010448	GCF_001042615.1
KJ453907.1.1513	1	0.020718	GCF_905120345.1
KJ459860.1.1418	1	0.02938	GCF_000420465.1
KJ469554.1.1367	1	0.054951	GCF_900215725.1
KJ475530.1.1394	4	0.06744	GCF_009846525.1
KJ534251.1.1417	1	0.038013	GCF_900129495.1
KJ545601.1.1305	1	0.021121	GCF_012396615.1
KJ567608.1.1476	2	0.056799	GCF_000196555.1
KJ569212.1.1385	1	0.010938	GCF_022829465.1
KJ571135.1.1476	1	0.027201	GCF_001458595.1
KJ574409.1.1223	1	0.029482	GCF_004923205.2
KJ575558.1.1228	1	0.04319	GCF_000722775.1
KJ578044.1.1494	1	0.284406	GCF_004125825.1
KJ615121.1.1238	1	0.023554	GCA_900470775.1
KJ623585.1.1469	1	0.057627	GCF_004345325.1
KJ629315.1.1343	6	0.02547	GCF_011455695.1
KJ635871.1.1394	1	0.005427	GCF_000430025.1
KJ669200.1.1210	8	0.030329	GCF_000025565.1
KJ670098.1.1431	8	0.050769	GCF_900324475.1
KJ699141.1.1255	5	0.027626	GCF_003841405.1
KJ715886.1.1301	1	0.024042	GCF_014652335.1
KJ726551.1.1410	6	0.016428	GCF_000744945.1
KJ726591.1.1386	1	0.058269	GCA_013297995.1
KJ754938.1.1435	1	0.030796	GCF_015751045.1
KJ756123.1.1293	1	0.019329	GCF_023703085.1
KJ794154.1.1201	6	0.075693	GCF_000526995.1
KJ808145.1.1449	2	0.023737	GCF_900113835.1
KJ808227.1.1467	14	0.027775	GCF_900106845.1
KJ808421.1.1467	14	0.044493	GCF_900106845.1
KJ809182.1.1301	1	0.072207	GCF_024753205.1
KJ809264.1.1455	1	0.012485	GCF_902506165.1
KJ865402.1.1487	1	0.028892	GCF_013394085.1
KJ865403.1.1485	1	0.044241	GCF_013394085.1
KJ865575.1.1203	7	0.026792	GCF_009817885.1
KJ873968.1.1319	1	0.050316	GCF_000212375.1
KJ874022.1.1326	1	0.280883	GCA_015067305.1
KJ874032.1.1319	1	0.069241	GCF_000160615.1
KJ874034.1.1307	1	0.039892	GCA_022783665.1
KJ874061.1.1315	1	0.135137	GCA_002841545.1
KJ874096.1.1303	3	0.123603	GCF_001190745.1
KJ874118.1.1313	3	0.079992	GCA_018228685.1
KJ874122.1.1309	3	0.031419	GCA_017569305.1
KJ874128.1.1323	6	0.05176	GCF_011455495.1
KJ874152.1.1320	1	0.032425	GCF_000160615.1
KJ877455.1.1301	1	0.013886	GCF_001426945.1
KJ878612.1.1217	1	0.020325	GCA_004134995.1
KJ907462.1.1384	1	0.025549	GCF_003634345.1
KJ921825.1.1315	5	0.039189	GCF_003641185.1
KJ957677.1.1453	2	0.109877	GCF_001282625.1
KJ994402.1.1234	1	0.02564	GCF_001437405.1
KM016093.1.1357	7	0.022315	GCF_002925905.1
KM016315.1.1449	1	0.115521	GCA_018267725.1
KM018321.1.1431	1	0.114192	GCA_014896235.1
KM020948.1.1296	1	0.0497	GCF_003815915.1
KM021097.1.1244	1	0.031433	GCF_004327355.1
KM021165.1.1262	1	0.02292	GCF_014837145.1
KM034810.1.1366	8	0.009179	GCF_000025565.1
KM067151.1.1321	2	1.036838	GCF_000021725.1
KM099442.1.1327	5	0.057374	GCF_006742205.1
KM187001.1.1282	7	0.015542	GCF_000264785.1
KM197067.1.1344	1	0.080532	GCF_004535825.1
KM203626.1.1217	1	0.081169	GCF_900604485.1
KM244774.1.1530	1	0.215609	GCA_900751685.1
KM244795.1.1526	2	0.026889	GCF_000155955.1
KM244838.1.1490	1	0.074758	GCF_018784445.1
KM244859.1.1493	1	0.111711	GCA_900319185.1
KM251124.1.1542	1	0.269543	GCA_015067305.1
KM257017.1.1456	8	0.010397	GCF_000828055.2
KM257654.1.1302	1	0.062785	GCF_015751045.1
KM257678.1.1260	1	0.061263	GCF_015751045.1
KM276788.1.1200	1	0.068099	GCF_001042485.2
KM277366.1.1401	2	0.05351	GCF_000296445.1
KM355207.1.1433	1	0.054385	GCF_003316635.1
KM355235.1.1498	1	0.241929	GCF_000092425.1
KM362886.1.1394	1	0.026146	GCF_000975055.1
KM391948.1.1441	1	0.008065	GCF_011064845.1
KM406493.1.1445	8	0.008285	GCF_001875655.1
KM410873.1.1281	1	0.046873	GCF_902804485.1
KM434384.1.1316	7	0.014779	GCF_001277215.2
KM494517.1.1482	1	0.131162	GCF_002161055.1
KM502215.1.1200	1	0.030361	GCA_919592095.1
KM650531.1.1500	2	0.387483	GCF_002777255.1
KM650551.1.1437	1	0.292667	GCF_014384805.1
KM650700.1.1455	1	0.135137	GCA_002841545.1
KM819138.1.1509	1	0.253931	GCF_016027715.1
KM877246.1.1324	1	0.018466	GCF_003309065.1
KM888877.1.1419	1	0.022541	GCF_900155935.1
KM922568.1.1367	1	0.036052	GCF_004521965.1
KM978308.1.1527	12	0.169599	GCA_023705585.1
KP017534.1.1236	1	0.020796	GCF_000745265.1
KP017569.1.1451	1	0.065186	GCF_900129455.1
KP027016.1.1336	1	0.022366	GCF_024718545.1
KP091745.1.1237	1	0.023647	GCF_000290615.1
KP099932.1.1245	1	0.004592	GCF_001424225.1
KP150938.1.1495	14	0.08519	GCA_018336475.1
KP173712.1.1398	1	0.010732	GCF_003515945.1
KP193456.1.1399	5	0.108676	GCA_025148635.1
KP214597.3.1209	1	0.077968	GCF_010669145.1
KP214598.1.1232	1	0.056939	GCF_024707505.1
KP214606.3.1210	1	0.017958	GCF_002940685.1
KP214608.2.1224	1	0.013666	GCF_001570805.1
KP214610.1.1260	1	0.034831	GCF_019970045.1
KP214621.1.1234	6	0.096267	GCF_000196795.1
KP214622.1.1236	1	0.017158	GCF_016745235.1
KP214629.2.1230	6	0.021918	GCF_000759535.1
KP214638.1.1205	5	0.083101	GCF_004028095.1
KP233317.1.1433	1	0.023331	GCF_000311845.1
KP265303.1.1279	7	0.039847	GCF_001654845.1
KP294708.1.1205	2	0.027192	GCF_001553035.1
KP294798.1.1240	1	0.022283	GCF_008369405.1
KP330262.1.1200	1	0.0359	GCF_002835805.1
KP334252.1.1211	1	0.141081	GCF_000163055.2
KP337928.1.1234	1	0.03966	GCA_000759755.1
KP339859.1.1411	7	0.014592	GCF_902158555.1
KP409622.1.1215	7	0.036433	GCA_018842655.1
KP409861.1.1253	1	0.024753	GCF_014648275.1
KP410797.1.1417	8	0.020335	GCF_000828055.2
KP634952.1.1233	1	0.046843	GCF_003353175.1
KP644774.1.1203	5	0.009188	GCF_006742205.1
KP712892.1.1284	1	0.017046	GCF_002549795.1
KP713425.1.1227	1	0.028223	GCF_021033825.1
KP715410.1.1356	3	0.042691	GCF_902702915.1
KP717908.1.1267	1	0.072842	GCF_001593285.1
KP717958.1.1215	4	0.019065	GCF_009911795.1
KP730698.1.1429	1	0.041678	GCF_015751045.1
KP750179.1.1351	2	0.095134	GCF_000775995.1
KP751407.1.1392	2	0.021422	GCF_014201615.1
KP762238.1.1208	1	0.003133	GCF_011064825.1
KP823035.1.1274	1	0.015026	GCF_000243275.1
KP875414.1.1282	1	0.034792	GCF_003860525.1
KP889099.1.1383	1	0.033223	GCF_900625105.1
KP893331.1.1200	1	0.03316	GCF_005517195.1
KP896336.1.1348	1	0.015803	GCF_023806085.1
KP944116.1.1434	5	0.029167	GCF_001314995.1
KP944123.1.1436	1	0.029299	GCF_000011065.1
KP944125.1.1437	1	0.026748	GCF_019583405.1
KP944130.1.1431	1	0.025097	GCF_002849695.1
KP944172.1.1433	1	0.109098	GCA_000155435.1
KP944190.1.1408	2	0.043441	GCF_000024265.1
KP944198.1.1435	1	0.017705	GCF_000262545.1
KP966092.1.1345	1	0.013378	GCF_001280875.1
KP975174.1.1458	5	0.047782	GCF_006739205.1
KP975337.1.1226	1	0.145142	GCF_002902755.1
KP979748.1.1398	2	0.00049	GCF_014898155.1
KP984535.1.1363	1	0.007022	GCF_000392875.1
KR006243.1.1239	2	0.098282	GCF_002897295.1
KR011119.1.1443	1	0.045837	GCF_000341065.1
KR029067.1.1359	1	0.004554	GCF_000821305.1
KR029409.1.1317	8	0.064666	GCF_020526085.1
KR063284.1.1455	6	0.021784	GCF_000178835.2
KR067765.1.1497	1	0.264492	GCA_023458035.1
KR067776.1.1473	1	0.058457	GCA_016291435.1
KR067790.1.1531	1	0.109722	GCA_022774645.1
KR068016.1.1478	1	0.136602	GCA_900315985.1
KR068194.1.1472	1	0.135885	GCF_016901775.1
KR068231.1.1455	1	0.095348	GCA_002841545.1
KR068389.1.1491	1	0.144833	GCF_900130065.1
KR068452.1.1472	1	0.041473	GCA_016283395.1
KR076432.1.1216	1	0.039008	GCF_900099835.1
KR107382.1.1385	2	0.031778	GCF_014336955.1
KR107503.1.1276	4	0.107235	GCF_000017205.1
KR185326.1.1423	3	0.020258	GCF_010537335.1
KR189881.1.1387	1	0.025283	GCF_004353845.1
KR232920.1.1345	5	0.023678	GCF_009193295.2
KR351300.1.1327	5	0.084773	GCF_006742205.1
KR364760.1.1485	1	0.030818	GCF_004216775.1
KR364765.1.1465	1	0.018019	GCF_004343035.1
KR364770.1.1431	1	0.020792	GCF_004346165.1
KR364774.1.1448	1	0.034604	GCF_004340975.1
KR364792.1.1528	1	0.10832	GCF_002221595.1
KR491960.1.1324	8	0.016855	GCF_001875655.1
KR492891.1.1423	1	0.077602	GCF_015558675.1
KR514582.1.1245	1	0.049844	GCF_001056295.1
KR534185.1.1221	1	0.031895	GCF_004514425.2
KR610524.1.1480	1	0.014201	GCF_014196715.1
KR703549.1.1331	1	0.034483	GCF_004152865.1
KR822469.1.1493	1	0.048672	GCF_900604485.1
KR866070.1.1208	1	0.020697	GCF_019243775.1
KR911910.1.1341	1	0.006168	GCF_901447155.2
KR997600.1.1302	1	0.085728	GCF_002860165.1
KT002353.1.1465	14	0.047545	GCF_900106845.1
KT005643.1.1200	8	0.068032	GCF_011601275.1
KT005645.1.1200	1	0.050776	GCF_012912005.1
KT005650.1.1200	1	0.054949	GCF_001677885.1
KT005682.1.1200	1	0.017845	GCF_002803515.1
KT006758.1.1432	7	0.026415	GCF_000005825.2
KT021534.1.1267	1	0.033971	GCF_001544275.1
KT025580.1.1466	1	0.039378	GCF_900113455.1
KT026457.1.1220	1	0.014378	GCF_000764665.1
KT036643.1.1202	1	0.146717	GCF_000385375.1
KU057036.1.1427	7	0.041706	GCF_001642805.2
KU145139.1.1475	5	0.051022	GCF_004359375.1
KT167029.1.1376	1	0.135137	GCA_002841545.1
KU170959.1.1307	2	0.029421	GCF_001685415.1
KT174483.1.1321	7	0.008328	GCF_003697165.2
KU177252.1.1213	1	0.001598	GCF_021648825.1
KT203427.1.1205	1	0.028934	GCA_000335715.1
KT216028.1.1220	1	0.107271	GCF_014836495.1
KU218527.1.1240	8	0.020889	GCF_023023105.1
KT222149.1.1428	4	0.010519	GCF_000196555.1
KU243189.1.1303	1	0.088497	GCF_000518645.1
KT248067.1.1269	7	0.073225	GCF_002925905.1
KU257688.1.1365	1	0.017483	GCF_003627995.1
KT261083.1.1410	7	0.01688	GCA_900446925.1
KT262971.1.1401	3	0.017932	GCF_024399335.1
KU291314.1.1247	1	0.00015	GCF_002802915.1
KU291315.1.1376	1	0.013208	GCF_000741785.1
KU298953.1.1379	1	0.01537	GCF_009299505.1
KU298954.1.1374	1	0.009303	GCF_003129905.1
KU298956.1.1390	1	0.017437	GCF_002860355.1
KU298965.1.1328	1	0.023592	GCF_002802915.1
KU301246.1.1316	1	0.039068	GCF_015751045.1
KU301265.1.1285	1	0.08318	GCF_014634805.1
KU301276.1.1326	1	0.036119	GCF_015751045.1
KT309086.1.1409	1	0.15718	GCF_022569295.1
KT316390.1.1441	8	0.026333	GCF_000828055.2
KU316941.1.1431	1	0.033258	GCF_000807675.2
KU324906.1.1351	1	0.061546	GCF_015751045.1
KU324908.1.1207	1	0.026185	GCF_010120595.1
KU324909.1.1217	1	0.085714	GCF_001591705.1
KU324914.1.1231	1	0.068813	GCF_010120595.1
KU324919.1.1228	1	0.070192	GCF_001591845.1
KU324923.1.1219	4	0.107206	GCF_021654455.1
KT343145.1.1396	1	0.023179	GCF_009299485.1
KT345677.1.1309	9	0.019449	GCF_001277805.1
KT353085.1.1206	1	0.060312	GCA_018267725.1
KU361226.1.1200	1	0.038538	GCF_001584325.1
KU362370.1.1261	1	1.87625	GCA_002148405.1
KU363896.1.1426	1	0.034266	GCF_001434975.1
KU525103.1.1438	1	0.015739	GCF_000368825.1
KU533762.1.1339	1	0.030723	GCF_024806835.1
KU533893.1.1507	1	0.107337	GCF_001074805.1
KU560277.1.1424	2	0.032977	GCF_023370115.1
KU569617.1.1237	1	0.046921	GCF_000241955.1
KU569674.1.1231	2	0.081019	GCF_000463015.1
KU569679.1.1207	1	0.052133	GCF_001571325.1
KT580593.1.1399	2	0.047681	GCF_013004645.1
KU588397.1.1235	1	0.127335	GCF_002734215.1
KU598707.1.1257	1	0.002514	GCF_000956535.1
KU598747.1.1210	1	0.013917	GCF_000182645.1
KT626963.1.1200	5	0.040366	GCF_001747895.1
KU641434.1.1461	7	0.107993	GCF_009707385.1
KU644165.1.1410	3	0.065243	GCF_900184245.1
KU644578.1.1347	1	0.074148	GCF_000160855.1
KU687332.1.1206	8	0.012617	GCF_000025565.1
KU705891.1.1495	1	0.111892	GCF_009676955.1
KU711904.1.1350	8	0.038187	GCF_000828055.2
KU711905.1.1356	8	0.037513	GCF_000828055.2
KU711907.1.1403	8	0.106918	GCF_000828055.2
KU711908.1.1400	8	0.037012	GCF_000828055.2
KU711914.1.1236	8	0.040393	GCF_000828055.2
KU711967.1.1377	6	0.02027	GCF_900636385.1
KU712018.1.1371	7	0.04706	GCF_001654845.1
KU712047.1.1354	7	0.028224	GCF_020532665.2
KU713095.1.1370	1	0.030912	GCF_014284335.1
KU713366.1.1360	1	0.149158	GCA_021404945.1
KU713505.1.1335	1	0.033417	GCA_000733915.1
KU714848.1.1252	1	0.033295	GCF_003729955.1
KT719783.1.1365	1	0.053028	GCF_900111345.1
KU725963.1.1234	1	0.020979	GCF_014196255.1
KU726264.1.1300	1	0.031063	GCF_023168325.1
KU728713.1.1437	1	0.07324	GCF_001312865.1
KU738863.1.1485	4	0.023823	GCF_900187105.1
KU744404.1.1459	7	0.014773	GCF_001945525.1
KU744405.1.1460	3	0.017331	GCF_001945605.1
KT751534.1.1200	1	0.041486	GCF_902498995.1
KT763083.1.1204	3	0.092497	GCF_014636095.1
KT767670.1.1411	1	0.009234	GCF_900115015.1
KT767683.1.1422	1	0.029572	GCF_007858365.1
KT767906.1.1422	1	0.019347	GCF_000735375.1
KT780152.1.1222	7	0.019157	GCF_023205015.1
KT780158.1.1201	1	0.035038	GCA_001722135.1
KT834792.1.1480	1	0.024878	GCF_014287815.1
KT835535.1.1480	1	0.032544	GCF_014287815.1
KU851820.1.1210	1	0.113612	GCF_021278965.1
KU851821.1.1256	7	0.106413	GCF_900200035.1
KT860421.1.1231	1	0.047269	GCF_017315735.1
KT869025.1.1216	1	0.035797	GCF_000186445.1
KT873246.1.1201	7	0.010992	GCF_003697165.2
KU878872.1.1407	1	0.004464	GCF_014635565.1
KU881628.1.1200	1	0.088913	GCA_001722135.1
KT886066.1.1491	1	0.018146	GCF_003096815.1
KT889287.1.1454	2	0.109279	GCF_000797495.1
KT895071.1.1436	1	0.115418	GCF_009695745.1
KT895074.1.1438	1	0.116148	GCF_002007215.1
KT899851.1.1270	1	0.007537	GCF_000023925.1
KT905780.1.1508	1	0.07731	GCF_021343995.1
KT923323.1.1217	1	0.004698	GCA_002013375.1
KT944253.1.1533	1	0.025852	GCF_000260435.1
KT952637.1.1450	1	0.010583	GCF_009765365.1
KT958496.1.1244	3	0.027023	GCF_000773975.1
KT963732.1.1479	1	0.163898	GCA_900751685.1
KT963751.1.1494	1	0.107008	GCF_009695765.1
KT963766.1.1460	1	0.050491	GCA_902363255.1
KT963773.1.1497	1	0.114851	GCA_016901395.1
KT963775.1.1529	2	0.030601	GCF_000155955.1
KT963782.1.1479	1	0.326074	GCA_902784545.1
KT963787.1.1487	1	0.039665	GCF_000468015.1
KU973986.1.1213	1	0.01659	GCF_001687325.1
KU975368.1.1302	1	0.094693	GCF_902859595.1
KT985446.1.1427	1	0.036053	GCF_013449735.1
KT990279.1.1411	2	0.018047	GCF_000711195.1
KU991597.1.1348	1	0.024753	GCF_001642575.1
KU999999.1.1363	1	0.004795	GCA_004340125.1
KX008965.1.1521	2	0.047319	GCF_001687605.2
KX018414.1.1283	7	0.018214	GCF_003697165.2
KX018443.1.1333	7	0.008368	GCF_003697165.2
KX021300.1.1561	1	0.019965	GCA_900095875.1
KX026867.1.1427	1	0.032127	GCF_006546825.1
KX037147.1.1213	1	0.089522	GCF_009601055.1
KX056909.1.1235	1	0.002486	GCA_017304635.1
KX065464.1.1319	2	0.123975	GCA_016806145.1
KX082653.1.1240	1	0.060763	GCA_900473175.1
KX130890.1.1202	2	0.021441	GCF_003010495.1
KX133568.1.1392	1	0.023673	GCA_000771265.1
KX133569.1.1415	1	0.029414	GCF_010120595.1
KX171698.1.1310	14	0.017405	GCF_001591645.1
KX177774.1.1489	1	0.046132	GCF_014397785.1
KX212245.1.1200	2	0.017138	GCF_004346925.1
KX212255.1.1200	7	0.033403	GCF_024793895.1
KX212257.1.1200	7	0.03335	GCF_002925905.1
KX212259.1.1200	8	0.050388	GCF_001729805.1
KX225280.1.1202	5	0.030446	GCF_000739375.1
KX225292.1.1208	1	0.112826	GCF_011684115.1
KX230131.1.1333	1	0.031694	GCF_900220975.1
KX279980.1.1351	1	0.027557	GCF_009907385.1
KX281151.1.1377	7	0.020464	GCA_900455155.1
KX298845.1.1285	2	0.014644	GCF_013004645.1
KX344119.1.1453	5	0.003573	GCF_940670685.1
KX354329.1.1491	1	0.1449	GCF_003545815.1
KX357821.1.1490	1	0.027493	GCF_010120595.1
KX377587.1.1331	2	0.020632	GCF_008843165.1
KX379766.1.1371	8	0.106071	GCF_000742135.1
KX389690.1.1211	1	0.097159	GCF_001510715.1
KX389980.1.1206	1	0.019113	GCF_900475595.1
KX426649.1.1231	2	0.044669	GCF_016406105.1
